freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.169e+02,1.522e+01,1.422e+01,5.463e+02
1.6,3.058e+02,3.798e+01,3.319e+01,3.770e+02
3.1,3.796e+01,4.083e+01,3.176e+01,1.105e+02
4.7,3.864e+02,3.914e+01,2.864e+01,4.542e+02
6.2,1.311e+03,4.055e+01,3.028e+01,1.382e+03
7.8,2.188e+03,4.096e+01,3.311e+01,2.262e+03
9.3,3.360e+03,4.610e+01,3.516e+01,3.441e+03
10.9,4.861e+03,7.867e+01,3.409e+01,4.974e+03
12.4,5.800e+03,1.174e+02,3.738e+01,5.955e+03
14.0,5.205e+03,8.990e+01,3.990e+01,5.335e+03
15.5,6.408e+03,4.754e+01,3.589e+01,6.492e+03
17.1,8.615e+03,4.649e+01,3.608e+01,8.698e+03
18.7,1.109e+04,5.141e+01,3.909e+01,1.118e+04
20.2,1.368e+04,5.261e+01,4.371e+01,1.377e+04
21.8,1.646e+04,5.285e+01,5.014e+01,1.656e+04
23.3,1.964e+04,5.061e+01,6.264e+01,1.975e+04
24.9,2.318e+04,4.865e+01,7.522e+01,2.330e+04
26.4,2.691e+04,4.360e+01,6.089e+01,2.702e+04
28.0,3.129e+04,4.181e+01,5.866e+01,3.139e+04
29.5,3.614e+04,4.391e+01,7.237e+01,3.625e+04
31.1,4.214e+04,4.764e+01,8.180e+01,4.227e+04
32.7,4.954e+04,4.846e+01,7.716e+01,4.967e+04
34.2,5.888e+04,5.659e+01,7.967e+01,5.901e+04
35.8,7.058e+04,1.240e+02,1.387e+02,7.085e+04
37.3,8.500e+04,2.428e+02,2.386e+02,8.548e+04
38.9,1.007e+05,4.544e+02,3.596e+02,1.015e+05
40.4,1.218e+05,7.656e+02,5.223e+02,1.231e+05
42.0,1.540e+05,1.117e+03,7.408e+02,1.558e+05
43.5,1.917e+05,1.807e+03,1.004e+03,1.946e+05
45.1,2.285e+05,3.487e+03,1.321e+03,2.333e+05
46.6,2.752e+05,5.410e+03,1.634e+03,2.822e+05
48.2,3.275e+05,6.563e+03,1.877e+03,3.359e+05
49.8,3.784e+05,6.484e+03,1.977e+03,3.869e+05
51.3,4.818e+05,6.733e+03,2.192e+03,4.907e+05
52.9,6.589e+05,8.366e+03,2.414e+03,6.697e+05
54.4,8.590e+05,1.106e+04,2.668e+03,8.727e+05
56.0,1.118e+06,1.455e+04,3.687e+03,1.136e+06
57.5,1.298e+06,1.810e+04,4.649e+03,1.321e+06
59.1,1.513e+06,2.047e+04,4.141e+03,1.538e+06
60.6,1.634e+06,1.747e+04,2.985e+03,1.654e+06
62.2,1.497e+06,1.105e+04,1.483e+03,1.510e+06
63.8,1.252e+06,6.895e+03,6.797e+02,1.259e+06
65.3,9.819e+05,6.381e+03,1.067e+03,9.893e+05
66.9,7.169e+05,6.412e+03,1.810e+03,7.251e+05
68.4,4.943e+05,5.114e+03,1.605e+03,5.011e+05
70.0,3.958e+05,4.121e+03,1.536e+03,4.015e+05
71.5,3.640e+05,4.602e+03,2.018e+03,3.706e+05
73.1,3.635e+05,6.622e+03,2.912e+03,3.730e+05
74.6,3.128e+05,8.234e+03,3.890e+03,3.249e+05
76.2,2.344e+05,9.174e+03,5.034e+03,2.486e+05
77.7,1.820e+05,9.630e+03,5.785e+03,1.974e+05
79.3,1.518e+05,8.707e+03,5.131e+03,1.656e+05
80.9,1.336e+05,7.257e+03,3.687e+03,1.445e+05
82.4,1.203e+05,5.738e+03,2.547e+03,1.286e+05
84.0,1.118e+05,5.197e+03,1.919e+03,1.189e+05
85.5,1.066e+05,5.024e+03,1.710e+03,1.133e+05
87.1,1.038e+05,4.790e+03,1.700e+03,1.103e+05
88.6,1.027e+05,4.858e+03,1.749e+03,1.093e+05
90.2,1.054e+05,5.546e+03,2.188e+03,1.131e+05
91.7,1.138e+05,6.498e+03,3.174e+03,1.234e+05
93.3,1.245e+05,7.141e+03,4.786e+03,1.364e+05
94.9,1.365e+05,7.406e+03,7.444e+03,1.514e+05
96.4,1.603e+05,8.650e+03,1.354e+04,1.825e+05
98.0,1.675e+05,8.989e+03,2.339e+04,1.999e+05
99.5,1.567e+05,7.750e+03,3.503e+04,1.995e+05
101.1,1.471e+05,6.081e+03,4.390e+04,1.971e+05
102.6,1.400e+05,4.999e+03,5.514e+04,2.001e+05
104.2,1.450e+05,3.971e+03,6.738e+04,2.164e+05
105.7,1.612e+05,3.051e+03,7.727e+04,2.416e+05
107.3,1.880e+05,2.408e+03,7.834e+04,2.687e+05
108.8,2.022e+05,3.445e+03,6.352e+04,2.691e+05
110.4,2.048e+05,5.554e+03,4.717e+04,2.575e+05
112.0,2.007e+05,7.289e+03,3.407e+04,2.421e+05
113.5,2.020e+05,8.737e+03,2.743e+04,2.382e+05
115.1,2.053e+05,1.013e+04,2.318e+04,2.386e+05
116.6,2.019e+05,1.159e+04,1.950e+04,2.330e+05
118.2,1.736e+05,1.147e+04,1.340e+04,1.985e+05
119.7,1.425e+05,1.014e+04,1.262e+04,1.653e+05
121.3,1.523e+05,1.319e+04,1.230e+04,1.778e+05
