freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.104e+02,7.284e+02,1.088e+01,1.650e+03
1.6,3.328e+03,1.182e+03,3.037e+01,4.540e+03
3.1,3.361e+03,1.109e+03,3.608e+01,4.506e+03
4.7,3.556e+03,1.383e+03,3.690e+01,4.977e+03
6.3,4.008e+03,2.686e+03,3.712e+01,6.732e+03
7.8,4.667e+03,3.811e+03,4.102e+01,8.519e+03
9.4,4.616e+03,5.328e+03,5.408e+01,9.998e+03
11.0,4.324e+03,7.356e+03,2.339e+02,1.191e+04
12.5,4.473e+03,7.192e+03,5.677e+02,1.223e+04
14.1,3.578e+03,6.033e+03,3.203e+02,9.931e+03
15.7,3.352e+03,6.805e+03,8.244e+01,1.024e+04
17.3,3.806e+03,9.146e+03,4.690e+01,1.300e+04
18.8,3.989e+03,1.209e+04,4.060e+01,1.612e+04
20.4,4.733e+03,1.555e+04,5.424e+01,2.034e+04
22.0,3.065e+03,1.868e+04,5.411e+01,2.180e+04
23.5,3.276e+03,2.376e+04,4.781e+01,2.708e+04
25.1,3.529e+03,2.979e+04,4.965e+01,3.337e+04
26.7,3.261e+03,3.353e+04,4.608e+01,3.683e+04
28.2,4.172e+03,3.916e+04,4.659e+01,4.338e+04
29.8,4.564e+03,4.842e+04,4.914e+01,5.303e+04
31.4,4.081e+03,6.155e+04,5.084e+01,6.569e+04
32.9,3.371e+03,7.891e+04,5.695e+01,8.234e+04
34.5,4.031e+03,1.022e+05,7.338e+01,1.063e+05
36.1,6.091e+03,1.339e+05,1.020e+02,1.401e+05
37.6,1.194e+04,1.850e+05,1.418e+02,1.971e+05
39.2,3.946e+04,2.601e+05,4.531e+02,3.000e+05
40.8,1.263e+05,3.722e+05,2.252e+03,5.008e+05
42.4,2.970e+05,4.436e+05,4.918e+03,7.455e+05
43.9,4.170e+05,3.582e+05,5.141e+03,7.804e+05
45.5,4.212e+05,2.685e+05,3.416e+03,6.932e+05
47.1,4.592e+05,3.077e+05,3.460e+03,7.703e+05
48.6,5.415e+05,5.318e+05,3.968e+03,1.077e+06
50.2,6.857e+05,1.109e+06,3.504e+03,1.799e+06
51.8,8.460e+05,2.016e+06,4.980e+03,2.867e+06
53.3,7.578e+05,2.360e+06,9.578e+03,3.128e+06
54.9,5.575e+05,1.996e+06,1.194e+04,2.565e+06
56.5,3.972e+05,1.478e+06,1.093e+04,1.886e+06
58.0,2.950e+05,1.081e+06,8.285e+03,1.384e+06
59.6,2.333e+05,8.035e+05,9.445e+03,1.046e+06
61.2,1.701e+05,6.302e+05,1.243e+04,8.128e+05
62.7,1.166e+05,5.261e+05,1.060e+04,6.534e+05
64.3,8.750e+04,4.600e+05,4.971e+03,5.524e+05
65.9,7.759e+04,4.286e+05,2.451e+03,5.086e+05
67.5,7.642e+04,4.042e+05,2.356e+03,4.829e+05
69.0,7.086e+04,3.621e+05,2.626e+03,4.356e+05
70.6,6.320e+04,3.179e+05,2.850e+03,3.840e+05
72.2,5.533e+04,2.739e+05,2.356e+03,3.316e+05
73.7,4.919e+04,2.499e+05,2.123e+03,3.012e+05
75.3,4.524e+04,2.354e+05,2.069e+03,2.827e+05
76.9,4.324e+04,2.185e+05,1.864e+03,2.636e+05
78.4,4.150e+04,2.008e+05,1.919e+03,2.442e+05
80.0,3.947e+04,1.861e+05,2.106e+03,2.277e+05
81.6,3.816e+04,1.762e+05,2.056e+03,2.164e+05
83.1,3.737e+04,1.553e+05,1.760e+03,1.945e+05
84.7,3.880e+04,1.361e+05,1.349e+03,1.763e+05
86.3,3.850e+04,1.210e+05,1.212e+03,1.607e+05
87.8,3.937e+04,1.102e+05,1.228e+03,1.508e+05
89.4,4.179e+04,1.002e+05,1.418e+03,1.434e+05
91.0,4.579e+04,9.076e+04,1.771e+03,1.383e+05
92.6,5.160e+04,8.229e+04,2.129e+03,1.360e+05
94.1,5.507e+04,7.459e+04,2.262e+03,1.319e+05
95.7,5.333e+04,7.841e+04,2.518e+03,1.343e+05
97.3,5.157e+04,8.633e+04,2.910e+03,1.408e+05
98.8,5.257e+04,8.758e+04,3.119e+03,1.433e+05
100.4,4.900e+04,8.545e+04,3.503e+03,1.380e+05
102.0,4.041e+04,9.280e+04,4.481e+03,1.377e+05
103.5,3.847e+04,9.095e+04,6.157e+03,1.356e+05
105.1,3.622e+04,8.689e+04,8.429e+03,1.315e+05
106.7,3.203e+04,9.208e+04,1.088e+04,1.350e+05
108.2,2.539e+04,9.666e+04,1.156e+04,1.336e+05
109.8,1.951e+04,9.935e+04,9.417e+03,1.283e+05
111.4,1.568e+04,1.012e+05,5.479e+03,1.224e+05
112.9,1.358e+04,1.018e+05,3.523e+03,1.189e+05
114.5,1.238e+04,9.951e+04,2.628e+03,1.145e+05
116.1,1.045e+04,9.344e+04,2.789e+03,1.067e+05
117.7,1.017e+04,8.948e+04,4.481e+03,1.041e+05
119.2,1.035e+04,8.546e+04,7.328e+03,1.031e+05
120.8,1.201e+04,8.651e+04,9.151e+03,1.077e+05
122.4,1.222e+04,9.047e+04,8.451e+03,1.111e+05
123.9,1.176e+04,1.160e+05,8.108e+03,1.358e+05
125.5,1.290e+04,1.268e+05,7.039e+03,1.468e+05
127.1,1.012e+04,1.241e+05,6.675e+03,1.409e+05
128.6,1.013e+04,1.331e+05,8.617e+03,1.519e+05
130.2,9.816e+03,1.201e+05,1.116e+04,1.410e+05
131.8,9.026e+03,8.309e+04,1.307e+04,1.052e+05
133.3,6.416e+03,2.620e+04,6.968e+03,3.959e+04
134.9,3.993e+03,3.230e+03,3.328e+03,1.055e+04
136.5,4.547e+03,2.691e+03,3.638e+03,1.088e+04
138.0,5.274e+03,2.981e+03,3.408e+03,1.166e+04
